"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000",1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",7933023,82845470,0.573888613990312,10443.1148126004,2016
"10000",2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",146,2000,2000,2000,"SPP",12726,9821,0.00995027209607806,771.727172717272,2016
"10000",2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",176,1997,1997,1997,"SPP",45462,567898,0.0294870797011208,12491.707359993,2016
"10000",2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",154,2000,2000,2000,"SPP",41833,552472,0.0310094585779517,13206.6072239619,2016
"10000",2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",2583400,26920843,0.496228631665971,10420.7025625145,2016
"10000",2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",376,1962,1964,1960,"SPP",721379,8150930,0.219013832216069,11299.0952051557,2016
"10000",2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast (MO)",484,1975,1977,1972,"SPP",0,0,0,NA,2016
"10000",2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast (MO)",2,1985,1985,1985,"SPP",1317,74587,0.0751712328767123,56634.0167046317,2016
"10000",56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",148.5,2008,2010,2006,"SPP",408557,3771798,0.314066848085113,9231.99945172889,2016
"10000",59772,"BA","MWH","Kansas City Power & Light Co","Batteries","KCP&L SmartGrid Innovation Park",1,2012,2012,2012,"SPP",0,0,0,NA,2016
"10000",6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",1640,1995,2010,1980,"SPP",9738811,92846910,0.677888058247021,9533.7007772304,2016
"10000",7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",1375,23366,0.00174403855910705,16993.4545454545,2016
"10000",7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",12166,178281,0.00380288276393244,14654.0358375801,2016
"10004",50329,"IC","OBG","King County Dept-Natural Res","Other Waste Biomass","West Point Treatment Plant",4.6,2012,2012,2012,"WECC",15744,93809,0.390708755211435,5958.3968495935,2016
"10005",1240,"GT","NG","Kansas Gas & Electric Co","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center",375.1,2000.33333333333,2001,2000,"SPP",107413,1241510,0.0326893041612039,11558.2843789858,2016
"10005",1240,"IC","DFO","Kansas Gas & Electric Co","Petroleum Liquids","Gordon Evans Energy Center",2.9,1969,1969,1969,"SPP",22,245,0.00086600535348764,11136.3636363636,2016
"10005",1240,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Gordon Evans Energy Center",526,1964,1967,1961,"SPP",227396,3087811,0.0493506606246853,13579.0031486921,2016
"10005",1242,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Murray Gill",228,1957.5,1959,1956,"SPP",75912,1272084,0.0380076904590243,16757.3506165033,2016
"10023",2500,"CA","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",80,2003,2003,2003,"NPCC",477545,0,0.681428367579909,0,2016
"10023",2500,"CT","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",170,2003,2003,2003,"NPCC",1085604,11448157,0.728984689766317,10545.4263248846,2016
"10023",2500,"GT","NG","TC Ravenswood LLC","Natural Gas Fired Combustion Turbine","Ravenswood",523,1968.875,1969,1967,"NPCC",18931,317413,0.00413207085919834,16766.8374623633,2016
"10023",2500,"ST","NG","TC Ravenswood LLC","Natural Gas Steam Turbine","Ravenswood",1827,1963.66666666667,1965,1963,"NPCC",3613264,39357736,0.225765221324976,10892.5713703732,2016
"10035",59045,"IC","NG","Kansas Municipal Energy Agency","Natural Gas Internal Combustion Engine","Jameson Energy Center",27.6,2014,2014,2014,"SPP",6392,78487,0.0264376943948117,12278.942428035,2016
"10046",55809,"WT","WND","Kas Brothers Windfarm LLC","Onshore Wind Turbine","Kas Brothers Windfarm",1.5,2001,2001,2001,"MRO",3684,34011,0.280365296803653,9232.08469055375,2016
"1005",54801,"HY","WAT","Avalon/Mayo Hydropower LLC","Conventional Hydroelectric","Avalon/Mayo Hydropower",1.2,1999,2000,1997,"SERC",5249,48460,0.499334094368341,9232.23471137359,2016
"10056",4118,"GT","NG","City of Kaukauna","Natural Gas Fired Combustion Turbine","Kaukauna Gas Turbine",18,1969,1969,1969,"MRO",155,3400,0.000983003551496702,21935.4838709677,2016
"10056",4119,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Little Chute",3.3,1948,1948,1948,"MRO",25172,232388,0.870762418707624,9232.00381376132,2016
"10056",4120,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","New Badger",8.2,2014,2014,2014,"MRO",51502,475466,0.716978505401492,9231.99099064114,2016
"10056",4122,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Rapide Croche",2.4,1926,1926,1926,"MRO",18043,166575,0.858209665144597,9232.11217646733,2016
"10056",4201,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Combined Locks",6.2,1988,1988,1988,"MRO",46819,432233,0.862037855354249,9231.9998291292,2016
"10056",54885,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Kimberly Mill",2.1,1926.66666666667,1927,1926,"RFC",14205,131140,0.772178734507502,9231.96057726153,2016
"10056",7822,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Kaukauna City Hydro",4.8,1941,1942,1940,"MRO",38799,358192,0.922731164383562,9231.99051521946,2016
"10071",56258,"GT","OTH","Kauai Island Utility Cooperative","All Other","Kapaia Power Station",39.1,2002,2002,2002,"HICC",175922,1595658,0.513616882131054,9070.25840997715,2016
"10071",58639,"BA","MWH","Kauai Island Utility Cooperative","Batteries","KRS I Anahola Solar",6,2015,2015,2015,"",-63030,0,-1.19920091324201,0,2016
"10071",58639,"PV","SUN","Kauai Island Utility Cooperative","Solar Photovoltaic","KRS I Anahola Solar",12,2015,2015,2015,"",21141,195174,0.20111301369863,9232.01362281822,2016
"10071",58640,"BA","MWH","Kauai Island Utility Cooperative","Batteries","KRS II Koloa Solar",1.5,2014,2014,2014,"",0,0,0,NA,2016
"10071",58640,"PV","SUN","Kauai Island Utility Cooperative","Solar Photovoltaic","KRS II Koloa Solar",12,2014,2014,2014,"",22527,207971,0.214297945205479,9232.07706307986,2016
"10071",6474,"GT","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen (HI)",43,1975,1977,1973,"HICC",3978,89478,0.0105606881172348,22493.2126696833,2016
"10071",6474,"IC","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen (HI)",46.5,1977.11111111111,1991,1964,"HICC",108280,1025727,0.265822163303383,9472.9128186184,2016
"10071",6474,"ST","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen (HI)",10,1969,1969,1969,"HICC",459,8852,0.00523972602739726,19285.4030501089,2016
"10077",10042,"GT","NG","Kaweah Delta Hospital","Natural Gas Fired Combustion Turbine","Kaweah Delta District Hospital",3.5,2008,2008,2008,"WECC",20233,336125,0.659915198956295,16612.7119062917,2016
"10099",54343,"HY","WAT","Kaweah River Power Authority","Conventional Hydroelectric","Terminus Hydroelectric Project",20.1,1990,1990,1990,"WECC",29869,275751,0.169636974942638,9232.01312397469,2016
"1015",3548,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Decker Creek",206,1988,1988,1988,"TRE",39246,538486,0.0217482377975795,13720.786831779,2016
"1015",3548,"ST","NG","Austin Energy","Natural Gas Steam Turbine","Decker Creek",726,1974.5,1978,1971,"TRE",483099,5593671,0.0759618287482546,11578.7260996193,2016
"1015",56374,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Robert Mueller Energy Center",4.6,2006,2006,2006,"TRE",28290,326449,0.702054794520548,11539.3778720396,2016
"1015",56374,"IC","DFO","Austin Energy","Petroleum Liquids","Robert Mueller Energy Center",1.5,2006,2006,2006,"TRE",21,236,0.00159817351598174,11238.0952380952,2016
"1015",7900,"CA","NG","Austin Energy","Natural Gas Fired Combined Cycle","Sand Hill",190,2004,2004,2004,"TRE",505728,663270,0.303850036049027,1311.51528094153,2016
"1015",7900,"CT","NG","Austin Energy","Natural Gas Fired Combined Cycle","Sand Hill",198,2004,2004,2004,"TRE",819917,10048491,0.472716318435496,12255.4978125835,2016
"1015",7900,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Sand Hill",308.4,2004,2010,2001,"TRE",284753,2461171,0.105402238094392,8643.17847397569,2016
"10152",2139,"IC","DFO","City of Kennett - (MO)","Petroleum Liquids","Kennett",3,1944.5,1949,1942,"SERC",340,5031,0.012937595129376,14797.0588235294,2016
"10152",2139,"IC","NG","City of Kennett - (MO)","Natural Gas Internal Combustion Engine","Kennett",41.5,1971.22222222222,2001,1951,"SERC",2468,36495,0.00678879903174341,14787.2771474878,2016
"10171",1354,"HY","WAT","Kentucky Utilities Co","Conventional Hydroelectric","Dix Dam",28.2,1925,1925,1925,"SERC",78642,726023,0.318347420577091,9232.00071208769,2016
"10171",1355,"GT","NG","Kentucky Utilities Co","Natural Gas Fired Combustion Turbine","E W Brown",980.6,1997,2001,1994,"SERC",517879,6597638,0.0602881983540037,12739.728778344,2016
"10171",1355,"PV","SUN","Kentucky Utilities Co","Solar Photovoltaic","E W Brown",10,2016,2016,2016,"SERC",11732,108311,0.133926940639269,9232.10023866348,2016
"10171",1355,"ST","BIT","Kentucky Utilities Co","Conventional Steam Coal","E W Brown",757.1,1963.66666666667,1971,1957,"SERC",1727531,20144810,0.260476469633889,11661.0411043275,2016
"10171",1356,"ST","BIT","Kentucky Utilities Co","Conventional Steam Coal","Ghent",2225.9,1979,1984,1974,"SERC",11763004,126233252,0.603265499707573,10731.3788212603,2016
"10171",1358,"GT","NG","Kentucky Utilities Co","Natural Gas Fired Combustion Turbine","Haefling",41.4,1970,1970,1970,"SERC",114,5315,0.000314340546621666,46622.8070175439,2016
"10179",1983,"IC","DFO","Kenyon Municipal Utilities","Petroleum Liquids","Kenyon Municipal",5.4,1997,1997,1997,"MRO",41,467,0.000866734314222899,11390.243902439,2016
"10203",10496,"GT","NG","Kern River Cogeneration Co","Natural Gas Fired Combustion Turbine","Kern River Cogeneration",300,1985,1985,1985,"WECC",691722,4170117,0.263212328767123,6028.60253107462,2016
"10210",58977,"HY","WAT","Ketchikan Public Utilities","Conventional Hydroelectric","Whitman",4.8,2015,2015,2015,"",7649,70615,0.181911149162861,9231.92574192705,2016
"10210",6580,"HY","WAT","Ketchikan Public Utilities","Conventional Hydroelectric","Beaver Falls",5.4,1951.66666666667,1954,1947,"ASCC",42915,396192,0.907217148655505,9232.01677735058,2016
"10210",6581,"HY","WAT","Ketchikan Public Utilities","Conventional Hydroelectric","Silvis",2.1,1968,1968,1968,"ASCC",13207,121926,0.717927810393564,9231.92246535928,2016
"10210",84,"HY","WAT","Ketchikan Public Utilities","Conventional Hydroelectric","Ketchikan",4.2,1948,1954,1938,"ASCC",20683,190947,0.562160252228745,9232.0746506793,2016
"10210",85,"IC","DFO","Ketchikan Public Utilities","Petroleum Liquids","S W Bailey",25.9,1978.25,1998,1969,"ASCC",-1111,7757,-0.00489677544472065,-6981.99819981998,2016
"10230",54934,"IC","LFG","Keystone Recovery Inc","Landfill Gas","Keystone Recovery",5.6,1995.42857142857,1996,1995,"RFC",41655,581048,0.849131604696673,13949.0577361661,2016
"10260",2248,"IC","NG","City of Kimball - (NE)","Natural Gas Internal Combustion Engine","Kimball",9.6,1958,1974,1944,"MRO",0,0,0,NA,2016
"10273",50410,"ST","PC","Kimberly-Clark Corp","Petroleum Coke","Chester Operations",67,1986,1986,1986,"RFC",89162,419249,0.151915082123628,4702.10403535138,2016
"10320",2986,"IC","NG","City of Kingfisher - (OK)","Natural Gas Internal Combustion Engine","Kingfisher",9.1,1960.4,1970,1954,"SPP",0,0,0,NA,2016
"10321",1296,"IC","NG","City of Kingman - (KS)","Natural Gas Internal Combustion Engine","Kingman Municipal Power and Light Plant",19.1,1977.33333333333,1993,1962,"SPP",2857,37766,0.0170754739534773,13218.7609380469,2016
"10325",7907,"HY","WAT","Kings River Conservation Dist","Conventional Hydroelectric","Pine Flat",165,1984,1984,1984,"WECC",238379,2200716,0.164922512799225,9232.00449704043,2016
"10337",10405,"CA","NG","KES Kingsburg LP","Natural Gas Fired Combined Cycle","Kingsburg Cogen",13.1,1990,1990,1990,"WECC",7050,64576,0.061434696225034,9159.71631205674,2016
"10337",10405,"CT","NG","KES Kingsburg LP","Natural Gas Fired Combined Cycle","Kingsburg Cogen",23.1,1990,1990,1990,"WECC",18925,203845,0.0935232955780901,10771.2021136063,2016
"10339",54239,"IC","DFO","Kings Bay Naval Base","Petroleum Liquids","Naval Submarine Base Kings Bay",30,1987.41666666667,1989,1984,"SERC",1496,14482,0.00569254185692542,9680.48128342246,2016
"10347",54385,"HY","WAT","Kinneytown Hydro Co Inc","Conventional Hydroelectric","Kinneytown New Old",2.3,1990.5,1995,1986,"NPCC",1778,16414,0.0882469724042089,9231.72103487064,2016
"10349",54114,"CA","NG","KIAC Partners","Natural Gas Fired Combined Cycle","Kennedy International Airport Cogen",27,1995,1995,1995,"NPCC",136733,0,0.578103331642144,0,2016
"10349",54114,"CT","NG","KIAC Partners","Natural Gas Fired Combined Cycle","Kennedy International Airport Cogen",94.2,1994,1994,1994,"NPCC",552204,5983624,0.669182444812844,10835.8939812098,2016
"10362",55501,"CA","NG","Kiowa Power Partners LLC","Natural Gas Fired Combined Cycle","Kiamichi Energy Facility",634.4,2003,2003,2003,"SPP",732696,1394944,0.131842837153863,1903.85098321814,2016
"10362",55501,"CT","NG","Kiowa Power Partners LLC","Natural Gas Fired Combined Cycle","Kiamichi Energy Facility",735.6,2003,2003,2003,"SPP",962744,11723985,0.149404952562565,12177.6765162909,2016
"10363",10781,"HY","WAT","Koyle Hydro Inc","Conventional Hydroelectric","Koyle Ranch Hydroelectric Project",1.3,1983,1983,1983,"WECC",3331,30752,0.292500878117316,9232.0624437106,2016
"10376",7238,"CA","NG","Kissimmee Utility Authority","Natural Gas Fired Combined Cycle","Cane Island",266,2002.66666666667,2011,1995,"FRCC",1413590,773439,0.606649328801456,547.14521183653,2016
"10376",7238,"CT","NG","Kissimmee Utility Authority","Natural Gas Fired Combined Cycle","Cane Island",427.5,2002.66666666667,2011,1995,"FRCC",2297473,26538231,0.6134938182595,11551.0523953927,2016
"10376",7238,"GT","NG","Kissimmee Utility Authority","Natural Gas Fired Combustion Turbine","Cane Island",42,1994,1994,1994,"FRCC",2803,38647,0.00761850402261361,13787.7274348912,2016
"10393",7832,"CA","LFG","PUD No 1 of Klickitat County","Landfill Gas","Roosevelt Biogas 1",6,2011,2011,2011,"WECC",35137,0,0.668512176560122,0,2016
"10393",7832,"CT","LFG","PUD No 1 of Klickitat County","Landfill Gas","Roosevelt Biogas 1",20,2011,2011,2011,"WECC",111420,1627492,0.635958904109589,14606.8210375157,2016
"10393",7832,"IC","LFG","PUD No 1 of Klickitat County","Landfill Gas","Roosevelt Biogas 1",10.5,1999.2,2000,1999,"WECC",0,0,0,NA,2016
"10433",57187,"WT","WND","Kodiak Electric Assn Inc","Onshore Wind Turbine","Pillar Mountain Wind Project",9,2010.5,2012,2009,"ASCC",29309,270580,0.371752917300863,9231.97652598178,2016
"10433",58405,"BA","MWH","Kodiak Electric Assn Inc","Batteries","ESS Battery",3,2012,2012,2012,"",0,0,0,NA,2016
"10433",60250,"IC","DFO","Kodiak Electric Assn Inc","Petroleum Liquids","Swampy Acres",8.4,2006.33333333333,2015,2002,"",0,837,0,Inf,2016
"10433",60563,"FW","MWH","Kodiak Electric Assn Inc","Flywheels","Flywheel Energy Storage System",2,2015,2015,2015,"",0,0,0,NA,2016
"10433",6281,"IC","DFO","Kodiak Electric Assn Inc","Petroleum Liquids","Kodiak",18.3,1991.75,2005,1976,"ASCC",0,3531,0,Inf,2016
"10433",6282,"IC","DFO","Kodiak Electric Assn Inc","Petroleum Liquids","Port Lions",1,1970.5,1975,1968,"ASCC",0,17,0,Inf,2016
"10433",71,"HY","WAT","Kodiak Electric Assn Inc","Conventional Hydroelectric","Terror Lake",33.6,1994,2014,1984,"ASCC",124484,1149235,0.422931615568602,9231.98965328878,2016
"10433",7723,"IC","DFO","Kodiak Electric Assn Inc","Petroleum Liquids","Nymans Plant",10,1997,2000,1994,"ASCC",0,329,0,Inf,2016
"10451",6304,"IC","DFO","Kotzebue Electric Assn Inc","Petroleum Liquids","Kotzebue",11.8,2001.33333333333,2016,1987,"ASCC",16483,160828,0.159459407166628,9757.2043924043,2016
